科技
金发科技	sh600143
中天科技	sh600522
中国软件	sh600536
均胜电子	sh600699
正邦科技	sz002157

能源
浙能电力	sh600023
华能水电	sh600025
桂冠电力	sh600236
广汇能源	sh600256
恒力石化	sh600346
京能电力	sh600578
川投能源	sh600674
上海石化	sh600688
国投电力	sh600886
宝丰能源	sh600989
深圳燃气	sh601139
中国石油	sh601857
中煤能源	sh601898
深圳能源	sz000027
粤电力Ａ	sz000539
恒逸石化	sz000703
湖北能源	sz000883
东方能源	sz000958
卫星石化	sz002648

未知
包钢股份	sh600010
上港集团	sh600018
宝钢股份	sh600019
中远海能	sh600026
华电国际	sh600027
南方航空	sh600029
三一重工	sh600031
保利地产	sh600048
葛洲坝	sh600068
特变电工	sh600089
湘财股份	sh600095
同方股份	sh600100
上汽集团	sh600104
东方航空	sh600115
中国船舶	sh600150
建发股份	sh600153
联美控股	sh600167
上海建工	sh600170
雅戈尔	sh600177
兖州煤业	sh600188
新湖中宝	sh600208
南山铝业	sh600219
海航控股	sh600221
广汇汽车	sh600297
华夏幸福	sh600340
山东高速	sh600350
浙江龙盛	sh600352
宁沪高速	sh600377
金地集团	sh600383
海澜之家	sh600398
士兰微	sh600460
海航基础	sh600515
中铁工业	sh600528
山煤国际	sh600546
海螺水泥	sh600585
绿地控股	sh600606
老凤祥	sh600612
东方明珠	sh600637
申能股份	sh600642
豫园股份	sh600655
陆家嘴	sh600663
中华企业	sh600675
中船防务	sh600685
物产中大	sh600704
北汽蓝谷	sh600733
华域汽车	sh600741
华新水泥	sh600801
世茂股份	sh600823
中国电影	sh600977
淮北矿业	sh600985
九州通	sh600998
大秦铁路	sh601006
渝农商行	sh601077
中国神华	sh601088
中国国航	sh601111
中国化学	sh601117
海南橡胶	sh601118
工业富联	sh601138
新城控股	sh601155
重庆水务	sh601158
中国铁建	sh601186
国泰君安	sh601211
陕西煤业	sh601225
桐昆股份	sh601233
青岛港	sh601298
中国中铁	sh601390
中国外运	sh601598
中国核建	sh601611
中国中冶	sh601618
旗滨集团	sh601636
中国建筑	sh601668
中国电建	sh601669
潞安环能	sh601699
中国中车	sh601766
中国交建	sh601800
中海油服	sh601808
美凯龙	sh601828
中远海发	sh601866
招商轮船	sh601872
正泰电器	sh601877
中远海控	sh601919
中国核电	sh601985
中国重工	sh601989
金隅集团	sh601992
万  科Ａ	sz000002
大悦城	sz000031
泛海控股	sz000046
华侨城Ａ	sz000069
中联重科	sz000157
潍柴动力	sz000338
冀东水泥	sz000401
小天鹅Ａ	sz000418
东阿阿胶	sz000423
徐工机械	sz000425
威孚高科	sz000581
吉林敖东	sz000623
天茂集团	sz000627
金科股份	sz000656
阳 光 城	sz000671
中信特钢	sz000708
河钢股份	sz000709
燕京啤酒	sz000729
太钢不锈	sz000825
新 希 望	sz000876
华菱钢铁	sz000932
中国重汽	sz000951
中南建设	sz000961
西山煤电	sz000983
越秀金控	sz000987
隆平高科	sz000998
华润三九	sz000999
招商蛇口	sz001979
新 和 成	sz002001
苏宁易购	sz002024
美年健康	sz002044
国轩高科	sz002074
太阳纸业	sz002078
金 螳 螂	sz002081
天邦股份	sz002124
露天煤业	sz002128
荣盛发展	sz002146
北斗星通	sz002151
大华股份	sz002236
圣农发展	sz002299
杰瑞股份	sz002353
维信诺	sz002387
天齐锂业	sz002466
江苏国信	sz002608
仁东控股	sz002647
牧原股份	sz002714
万达电影	sz002739
青农商行	sz002958

金融
浦发银行	sh600000
华夏银行	sh600015
民生银行	sh600016
招商银行	sh600036
国投资本	sh600061
五矿资本	sh600390
中航资本	sh600705
江苏银行	sh600919
杭州银行	sh600926
西安银行	sh600928
南京银行	sh601009
常熟银行	sh601128
兴业银行	sh601166
北京银行	sh601169
上海银行	sh601229
农业银行	sh601288
中国平安	sh601318
中国人保	sh601319
交通银行	sh601328
新华保险	sh601336
中原证券	sh601375
工商银行	sh601398
长沙银行	sh601577
中国太保	sh601601
邮储银行	sh601658
华泰证券	sh601688
光大银行	sh601818
成都银行	sh601838
浙商银行	sh601916
建设银行	sh601939
中国银行	sh601988
贵阳银行	sh601997
中信银行	sh601998
平安银行	sz000001
金 融 街	sz000402
中油资本	sz000617
广发证券	sz000776
宁波银行	sz002142
郑州银行	sz002936
青岛银行	sz002948
苏州银行	sz002966

医药
上海医药	sh601607
国药一致	sz000028
华东医药	sz000963

